0.74029	0.82964	0.75306	0.90622	1.16150	0.79135	1.12321	0.93175	0.98281	0.90622	0.88070	0.91899	0.75306	1.02110	1.09768	1.05939	0.91899	0.99557	0.91899	1.05939	1.11044	1.00833	0.79135	0.93175	0.77859	0.86793	1.23808	0.89346	0.89346	0.94451	1.30190	1.03386	0.97004	0.85517	0.94451	0.97004	1.02110	0.89346	1.07215	1.32743	0.95728	1.16150	1.00833	0.98281	1.21255	0.85517	1.21255	1.00833	1.18702	0.90622	0.88070	0.90622	1.13597	1.03386	0.91899	0.90622	1.13597	0.97004	0.93175	0.97004	1.00833	1.11044	0.88070	1.04662	1.03386	0.98281	1.00833	0.82964	0.94451	0.77859	1.22532	1.02110	1.07215	1.04662	0.94451	0.98281	1.13597	0.76582	0.95728	1.04662	0.99557	1.02110	0.76582	0.97004	1.03386	1.03386	1.22532	0.99557	1.00833	0.86793	1.08491	0.91899	1.02110	1.18702	0.99557	0.97004	1.12321	1.00833	0.95728	1.14873	0.93175	1.21255	0.90622	1.07215	0.98281	0.75306	1.09768	1.08491	0.90622	0.94451	0.86793	0.77859	0.99557	1.04662	0.95728	0.94451	1.03386	1.02110	0.98281	0.91899	1.04662	0.88070	0.88070	1.00833	1.07215	1.09768	0.84240	1.09768
0.89346	0.93175	0.93175	0.95728	0.74029	0.94451	0.90622	0.94451	1.00833	1.14873	0.77859	1.05939	0.95728	0.84240	0.93175	0.95728	0.82964	1.11044	0.97004	0.98281	0.95728	0.93175	1.09768	0.91899	0.88070	0.76582	0.86793	1.04662	0.91899	1.14873	1.23808	0.95728	1.02110	1.04662	1.04662	0.90622	0.98281	0.88070	1.08491	1.03386	0.99557	1.00833	1.07215	1.02110	1.14873	1.03386	1.05939	1.03386	0.93175	0.91899	0.99557	0.94451	0.86793	0.95728	1.14873	1.13597	1.13597	0.97004	1.03386	1.11044	0.84240	1.02110	1.00833	0.94451	0.80411	1.08491	0.85517	1.17426	0.88070	0.91899	1.05939	0.90622	1.14873	0.79135	0.90622	1.13597	1.13597	1.30190	1.05939	0.77859	1.11044	1.03386	1.02110	0.95728	0.85517	0.97004	1.07215	0.82964	0.90622	1.07215	1.03386	0.98281	0.99557	1.11044	0.94451	1.03386	1.11044	1.07215	1.02110	0.99557	0.86793	0.89346	1.09768	0.84240	1.08491	0.77859	1.08491	0.95728	0.79135	0.95728	0.97004	0.93175	1.00833	0.98281	0.99557	0.86793	1.07215	1.09768	1.09768	1.00833	1.14873	0.91899	0.97004	0.90622	0.84240	0.62542	0.88070	0.80411
0.85517	0.82964	0.94451	0.75306	0.81688	0.97004	0.77859	0.88070	0.91899	1.11044	0.95728	0.86793	0.98281	0.98281	0.86793	0.89346	1.08491	1.12321	0.89346	0.95728	0.98281	0.81688	0.98281	1.04662	1.02110	0.98281	1.03386	1.07215	1.02110	1.00833	0.93175	0.70200	0.77859	0.85517	1.02110	0.94451	1.08491	0.90622	0.97004	0.88070	0.97004	1.00833	0.81688	0.86793	1.04662	0.82964	0.91899	1.05939	0.99557	1.05939	0.99557	1.12321	1.05939	0.89346	1.02110	0.95728	0.68924	0.98281	0.93175	1.00833	0.95728	1.08491	0.79135	0.98281	0.77859	1.02110	1.16150	1.23808	1.02110	0.76582	0.99557	1.14873	0.99557	0.93175	0.84240	0.89346	0.79135	0.79135	0.93175	0.99557	0.89346	1.12321	0.97004	1.08491	1.17426	0.86793	0.90622	1.23808	0.94451	1.00833	0.90622	0.77859	0.91899	1.07215	1.05939	1.17426	0.93175	0.93175	0.97004	0.99557	1.14873	0.84240	0.98281	0.98281	1.02110	1.09768	0.88070	1.18702	0.95728	1.04662	0.98281	0.97004	0.98281	0.93175	0.86793	0.89346	0.86793	0.98281	1.02110	0.84240	0.89346	0.89346	0.82964	0.82964	0.85517	0.80411	0.80411	0.81688
0.75306	1.03386	1.03386	0.80411	0.67648	0.84240	0.91899	1.02110	0.93175	0.93175	0.97004	0.81688	0.88070	1.13597	1.03386	0.85517	0.93175	1.07215	0.99557	1.22532	1.02110	0.74029	1.09768	0.99557	0.98281	0.98281	1.18702	0.95728	0.85517	0.95728	1.21255	1.03386	0.98281	0.99557	0.98281	0.86793	1.13597	0.95728	1.26361	1.18702	0.91899	1.07215	1.02110	1.05939	0.98281	0.81688	0.98281	0.95728	0.97004	1.02110	1.12321	1.07215	1.18702	0.81688	0.95728	0.91899	1.07215	1.04662	0.93175	1.11044	0.97004	0.95728	0.99557	0.81688	1.03386	1.02110	0.95728	1.12321	0.89346	1.08491	1.04662	0.90622	1.14873	0.90622	0.94451	1.11044	0.74029	1.14873	1.02110	0.89346	0.93175	0.89346	0.97004	1.25084	0.89346	0.85517	0.88070	1.16150	1.00833	1.12321	0.94451	1.08491	1.00833	0.90622	0.99557	1.03386	1.04662	1.03386	0.95728	0.95728	0.91899	1.11044	0.90622	1.12321	1.11044	0.99557	0.93175	0.79135	0.88070	0.88070	1.03386	1.22532	1.09768	0.85517	0.91899	0.90622	1.00833	0.94451	0.93175	1.03386	1.04662	0.84240	0.94451	0.90622	0.75306	1.14873	0.84240	0.82964
0.88070	1.03386	0.97004	0.94451	1.02110	0.86793	0.84240	0.85517	1.08491	1.12321	1.13597	0.93175	0.93175	0.85517	1.09768	1.04662	1.11044	0.94451	0.97004	0.75306	0.89346	1.03386	1.03386	0.95728	1.17426	1.04662	1.07215	1.11044	0.98281	0.91899	0.91899	1.11044	0.88070	0.99557	0.85517	1.07215	0.98281	1.19979	0.85517	1.11044	1.04662	0.95728	1.09768	0.93175	0.88070	0.93175	0.99557	1.03386	1.08491	0.88070	1.00833	1.22532	1.00833	1.05939	1.00833	0.95728	0.93175	0.98281	1.03386	1.11044	1.04662	1.04662	1.00833	1.03386	1.11044	1.12321	1.07215	0.85517	0.97004	1.03386	0.89346	0.86793	1.13597	1.21255	0.81688	0.86793	0.90622	0.93175	0.94451	0.98281	1.07215	1.13597	1.31466	1.12321	1.03386	0.94451	1.18702	0.91899	1.25084	0.82964	1.03386	0.90622	1.18702	0.89346	0.94451	1.00833	1.02110	1.14873	1.02110	0.94451	0.98281	1.16150	0.88070	1.07215	0.76582	0.98281	1.03386	0.98281	1.09768	1.11044	0.93175	1.00833	1.03386	0.91899	1.07215	0.90622	1.08491	0.91899	0.88070	0.90622	1.07215	0.95728	1.02110	0.91899	0.90622	0.85517	0.84240	1.04662
1.07215	0.91899	1.05939	0.79135	0.81688	0.89346	0.81688	0.95728	0.89346	1.08491	1.11044	0.95728	0.76582	0.95728	0.97004	1.04662	0.98281	1.04662	0.93175	0.91899	1.11044	1.16150	1.02110	1.08491	0.95728	1.22532	1.16150	0.76582	0.89346	0.82964	0.88070	0.94451	0.99557	0.95728	0.89346	0.97004	1.05939	0.80411	0.89346	1.09768	0.99557	1.08491	0.99557	0.93175	1.07215	0.82964	1.23808	0.90622	0.90622	0.89346	1.07215	1.05939	1.02110	0.99557	0.81688	1.19979	1.14873	1.12321	1.14873	1.05939	0.97004	1.16150	0.80411	1.08491	1.02110	0.74029	1.11044	1.07215	1.02110	0.90622	1.18702	0.98281	0.91899	1.00833	0.98281	1.13597	0.68924	0.88070	1.09768	1.04662	1.00833	1.11044	1.04662	0.91899	0.91899	0.97004	1.08491	1.05939	0.95728	1.03386	0.97004	0.98281	0.86793	0.93175	1.02110	0.91899	0.98281	0.99557	1.00833	0.95728	1.00833	0.91899	0.99557	0.97004	0.97004	1.07215	1.03386	0.99557	0.84240	0.86793	0.94451	0.97004	1.03386	0.99557	1.07215	0.95728	1.02110	1.00833	1.14873	0.99557	0.72753	0.81688	0.95728	0.93175	0.82964	0.82964	0.85517	0.89346
0.79135	1.07215	0.89346	0.80411	0.91899	1.03386	0.94451	0.85517	1.00833	1.11044	0.98281	0.99557	0.93175	1.19979	1.05939	1.02110	1.09768	1.02110	0.97004	0.99557	0.85517	1.04662	0.85517	0.84240	0.88070	0.85517	1.00833	0.97004	1.00833	0.93175	1.21255	0.93175	0.89346	1.02110	0.86793	1.02110	1.08491	1.05939	0.94451	1.04662	1.05939	1.00833	0.94451	1.17426	1.02110	0.94451	0.95728	0.74029	0.97004	1.08491	0.93175	1.14873	0.91899	1.23808	1.02110	0.98281	0.80411	0.85517	0.77859	0.79135	0.94451	1.13597	1.00833	1.11044	1.03386	0.85517	0.80411	0.95728	0.98281	1.27637	1.21255	0.90622	1.02110	1.04662	0.98281	1.12321	1.00833	0.93175	0.97004	0.98281	0.98281	0.99557	1.09768	0.80411	0.97004	0.95728	1.18702	1.07215	0.84240	0.94451	1.02110	0.93175	1.25084	0.86793	0.82964	0.98281	1.09768	1.09768	0.95728	0.93175	1.07215	0.94451	1.03386	0.90622	0.84240	0.94451	1.00833	0.98281	0.95728	0.91899	0.99557	1.22532	1.14873	1.05939	1.02110	1.02110	0.97004	0.97004	0.95728	1.07215	0.94451	0.93175	0.79135	0.89346	0.90622	0.88070	0.75306	0.90622
0.99557	1.03386	0.75306	0.86793	0.85517	1.00833	0.90622	0.94451	1.13597	1.00833	1.14873	1.02110	1.03386	0.97004	0.94451	1.18702	0.99557	1.02110	1.08491	1.09768	0.90622	1.02110	0.85517	0.95728	0.94451	1.00833	1.02110	1.26361	0.95728	0.93175	1.13597	1.00833	1.03386	0.77859	1.19979	0.98281	1.00833	0.90622	1.18702	1.02110	1.14873	1.00833	0.97004	1.14873	1.09768	0.90622	1.12321	0.89346	0.82964	1.08491	0.81688	1.14873	1.13597	0.85517	1.02110	1.04662	1.03386	1.00833	1.08491	1.11044	1.05939	1.02110	0.81688	1.17426	0.81688	1.05939	1.03386	1.05939	0.76582	1.00833	0.70200	0.99557	0.85517	1.02110	0.98281	0.85517	1.04662	0.98281	0.94451	0.98281	0.89346	1.11044	1.05939	0.79135	0.98281	1.11044	0.91899	0.91899	0.98281	1.05939	0.98281	0.85517	1.13597	0.89346	1.09768	0.95728	0.82964	1.04662	0.81688	1.02110	0.94451	1.05939	1.19979	0.97004	0.97004	1.00833	0.94451	1.09768	0.84240	1.02110	0.90622	1.22532	0.97004	0.99557	0.98281	0.93175	1.04662	0.86793	0.93175	1.02110	0.98281	0.93175	1.00833	1.00833	1.05939	1.08491	0.70200	0.74029
0.94451	0.76582	0.82964	0.90622	0.84240	1.00833	0.88070	1.02110	1.02110	0.90622	0.77859	0.91899	1.03386	1.07215	1.00833	0.99557	0.88070	0.97004	0.94451	0.89346	1.12321	0.95728	0.94451	0.89346	0.99557	0.98281	1.00833	1.09768	1.03386	1.16150	1.12321	0.99557	1.08491	0.88070	0.85517	0.90622	0.89346	1.03386	0.90622	1.02110	0.88070	0.97004	0.90622	0.93175	1.17426	0.97004	1.03386	1.08491	1.08491	0.94451	1.11044	1.13597	0.90622	0.99557	0.93175	0.97004	1.13597	1.04662	1.05939	1.09768	1.04662	1.05939	0.97004	1.04662	0.94451	0.97004	1.07215	0.91899	1.00833	0.94451	0.97004	1.04662	1.00833	0.79135	1.03386	0.90622	0.99557	1.04662	1.03386	1.12321	0.95728	0.98281	0.84240	1.11044	1.08491	0.94451	0.89346	1.12321	0.91899	0.94451	1.09768	1.04662	0.95728	1.07215	0.82964	0.77859	1.03386	0.88070	0.91899	1.05939	1.17426	1.16150	0.80411	0.67648	0.93175	0.91899	1.14873	0.90622	0.88070	1.05939	1.18702	1.08491	1.05939	0.95728	0.97004	0.94451	1.05939	0.94451	0.77859	0.80411	1.12321	0.91899	1.00833	0.94451	0.68924	0.91899	0.88070	0.77859
0.70200	0.72753	0.84240	0.94451	0.98281	0.89346	0.94451	0.95728	0.77859	0.90622	0.99557	1.08491	0.99557	0.94451	0.81688	0.98281	1.23808	1.14873	1.07215	1.02110	0.94451	1.00833	0.88070	0.95728	0.90622	0.98281	0.95728	0.99557	0.84240	0.80411	0.93175	0.95728	0.94451	1.04662	0.91899	0.76582	1.08491	1.02110	1.08491	0.82964	1.03386	1.11044	0.99557	1.09768	0.85517	1.03386	1.12321	1.08491	1.05939	0.98281	1.08491	0.80411	0.94451	0.89346	1.03386	1.09768	0.91899	1.07215	1.05939	0.80411	1.07215	1.09768	1.04662	1.02110	0.95728	0.99557	0.86793	0.95728	1.00833	0.89346	0.93175	1.05939	0.86793	1.08491	0.91899	0.97004	0.95728	0.86793	1.04662	0.77859	0.93175	1.00833	1.17426	1.04662	0.85517	1.04662	1.26361	0.85517	0.98281	0.99557	1.05939	1.08491	0.93175	1.12321	0.86793	1.28913	0.97004	1.04662	0.77859	1.08491	0.98281	0.97004	1.02110	0.99557	0.99557	1.13597	0.90622	0.91899	0.85517	0.95728	0.91899	1.11044	1.04662	0.98281	0.93175	0.89346	0.99557	1.23808	1.17426	0.97004	1.16150	0.98281	0.94451	0.91899	1.07215	0.91899	0.95728	0.88070
